Movie Title,Time,Genre,Directors,Writers,Actors,Rating,Number of Ratings
The Shawshank Redemption,142,Crime;Drama,Frank Darabont,Stephen King;Frank Darabont,Tim Robbins;Morgan Freeman;Bob Gunton,9.3,"916,290"
The Godfather,175,Crime;Drama,Francis Ford Coppola,Mario Puzo;Francis Ford Coppola,Marlon Brando;Al Pacino;James Caan,9.2,"658,984"
The Godfather: Part II,200,Crime;Drama,Francis Ford Coppola,Francis Ford Coppola;Mario Puzo,Al Pacino;Robert De Niro;Robert Duvall,9.1,"424,192"
Pulp Fiction,154,Crime;Thriller,Quentin Tarantino,Quentin Tarantino;Roger Avary,John Travolta;Uma Thurman;Samuel L. Jackson,9.0,"713,758"
"The Good, the Bad and the Ugly",161,Adventure;Western,Sergio Leone,Luciano Vincenzoni;Sergio Leone,Clint Eastwood;Eli Wallach;Lee Van Cleef,9.0,"279,900"
12 Angry Men,96,Drama,Sidney Lumet,Reginald Rose,Henry Fonda;Lee J. Cobb;Martin Balsam,8.9,"225,440"
The Dark Knight,152,Action;Crime;Drama,Christopher Nolan,Jonathan Nolan;Christopher Nolan,Christian Bale;Heath Ledger;Aaron Eckhart,9.0,"895,332"
Schindler's List,195,Biography;Drama;History,Steven Spielberg,Thomas Keneally;Steven Zaillian,Liam Neeson;Ralph Fiennes;Ben Kingsley,8.9,"471,389"
The Lord of the Rings: The Return of the King,201,Action;Adventure;Fantasy,Peter Jackson,J.R.R. Tolkien;Fran Walsh,Elijah Wood;Viggo Mortensen;Ian McKellen,8.9,"655,989"
Fight Club,139,Drama,David Fincher,Chuck Palahniuk;Jim Uhls,Brad Pitt;Edward Norton;Helena Bonham Carter,8.9,"698,656"
Star Wars: Episode V - The Empire Strikes Back,124,Action;Adventure;Sci-Fi,Irvin Kershner,Leigh Brackett;Lawrence Kasdan,Mark Hamill;Harrison Ford;Carrie Fisher,8.8,"452,974"
The Lord of the Rings: The Fellowship of the Ring,178,Action;Adventure;Drama,Peter Jackson,J.R.R. Tolkien;Fran Walsh,Elijah Wood;Ian McKellen;Orlando Bloom,8.8,"681,258"
One Flew Over the Cuckoo's Nest,133,Drama,Milos Forman,Lawrence Hauben;Bo Goldman,Jack Nicholson;Louise Fletcher;Michael Berryman,8.8,"382,835"
Inception,148,Action;Adventure;Mystery,Christopher Nolan,Christopher Nolan,Leonardo DiCaprio;Joseph Gordon-Levitt;Ellen Page,8.8,"710,849"
Goodfellas,146,Biography;Crime;Drama,Martin Scorsese,Nicholas Pileggi;Nicholas Pileggi,Robert De Niro;Ray Liotta;Joe Pesci,8.8,"401,216"
Star Wars,121,Action;Adventure;Fantasy,George Lucas,George Lucas,Mark Hamill;Harrison Ford;Carrie Fisher,8.8,"508,019"
Seven Samurai,141,Action;Adventure;Drama,Akira Kurosawa,Akira Kurosawa;Shinobu Hashimoto,Toshir Mifune;Takashi Shimura;Keiko Tsushima,8.8,"144,236"
Forrest Gump,142,Drama;Romance,Robert Zemeckis,Winston Groom;Eric Roth,Tom Hanks;Robin Wright;Gary Sinise,8.7,"598,643"
The Matrix,136,Action;Adventure;Sci-Fi,Andy Wachowski;Lana Wachowski,Andy Wachowski;Lana Wachowski,Keanu Reeves;Laurence Fishburne;Carrie-Anne Moss,8.7,"664,347"
The Lord of the Rings: The Two Towers,179,Action;Adventure;Drama,Peter Jackson,J.R.R. Tolkien;Fran Walsh,Elijah Wood;Ian McKellen;Viggo Mortensen,8.7,"588,826"
City of God,130,Crime;Drama,Fernando Meirelles;Ktia Lund,Paulo Lins;Brulio Mantovani,Alexandre Rodrigues;Matheus Nachtergaele;Leandro Firmino,8.7,"300,451"
Once Upon a Time in the West,175,Adventure;Western,Sergio Leone,Sergio Leone;Sergio Donati,Henry Fonda;Charles Bronson;Claudia Cardinale,8.7,"127,030"
Se7en,127,Crime;Mystery;Thriller,David Fincher,Andrew Kevin Walker,Morgan Freeman;Brad Pitt;Kevin Spacey,8.7,"533,152"
The Silence of the Lambs,118,Crime;Drama;Thriller,Jonathan Demme,Thomas Harris;Ted Tally,Jodie Foster;Anthony Hopkins;Lawrence A. Bonney,8.7,"446,825"
Casablanca,102,Drama;Romance;War,Michael Curtiz,Julius J. Epstein;Philip G. Epstein,Humphrey Bogart;Ingrid Bergman;Paul Henreid,8.7,"247,726"
The Usual Suspects,106,Crime;Drama;Mystery,Bryan Singer,Christopher McQuarrie,Kevin Spacey;Gabriel Byrne;Chazz Palminteri,8.7,"422,407"
Raiders of the Lost Ark,115,Action;Adventure,Steven Spielberg,Lawrence Kasdan;George Lucas,Harrison Ford;Karen Allen;Paul Freeman,8.7,"387,041"
Rear Window,112,Mystery;Thriller,Alfred Hitchcock,John Michael Hayes;Cornell Woolrich,James Stewart;Grace Kelly;Wendell Corey,8.7,"186,287"
Psycho,109,Horror;Mystery;Thriller,Alfred Hitchcock,Joseph Stefano;Robert Bloch,Anthony Perkins;Janet Leigh;Vera Miles,8.6,"233,653"
It's a Wonderful Life,130,Drama;Family;Fantasy,Frank Capra,Frances Goodrich;Albert Hackett,James Stewart;Donna Reed;Lionel Barrymore,8.7,"160,545"
Lon: The Professional,110,Crime;Drama;Thriller,Luc Besson,Luc Besson,Jean Reno;Gary Oldman;Natalie Portman,8.6,"390,021"
Sunset Blvd.,110,Drama;Film-Noir,Billy Wilder,Charles Brackett;Billy Wilder,William Holden;Gloria Swanson;Erich von Stroheim,8.6,"84,306"
Memento,113,Mystery;Thriller,Christopher Nolan,Christopher Nolan;Jonathan Nolan,Guy Pearce;Carrie-Anne Moss;Joe Pantoliano,8.6,"483,777"
American History X,119,Crime;Drama,Tony Kaye,David McKenna,Edward Norton;Edward Furlong;Beverly D'Angelo,8.6,"422,306"
Apocalypse Now,153,Drama;War,Francis Ford Coppola,John Milius;Francis Ford Coppola,Martin Sheen;Marlon Brando;Robert Duvall,8.6,"270,958"
Terminator 2: Judgment Day,137,Action;Sci-Fi;Thriller,James Cameron,James Cameron;William Wisher Jr.,Arnold Schwarzenegger;Linda Hamilton;Edward Furlong,8.6,"416,848"
Saving Private Ryan,169,Action;Drama;War,Steven Spielberg,Robert Rodat,Tom Hanks;Matt Damon;Tom Sizemore,8.6,"470,441"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95,Comedy;War,Stanley Kubrick,Stanley Kubrick;Terry Southern,Peter Sellers;George C. Scott;Sterling Hayden,8.6,"223,358"
Django Unchained,165,Adventure;Drama;Western,Quentin Tarantino,Quentin Tarantino,Jamie Foxx;Christoph Waltz;Leonardo DiCaprio,8.6,"199,116"
Alien,117,Horror;Sci-Fi,Ridley Scott,Dan O'Bannon;Ronald Shusett,Sigourney Weaver;Tom Skerritt;John Hurt,8.5,"312,792"
City Lights,87,Comedy;Drama;Romance,Charles Chaplin,Charles Chaplin,Charles Chaplin;Virginia Cherrill;Florence Lee,8.6,"53,422"
North by Northwest,136,Action;Adventure;Crime,Alfred Hitchcock,Ernest Lehman,Cary Grant;Eva Marie Saint;James Mason,8.5,"136,845"
Spirited Away,125,Animation;Adventure;Family,Hayao Miyazaki,Hayao Miyazaki,Daveigh Chase;Suzanne Pleshette;Miyu Irino,8.6,"204,929"
The Dark Knight Rises,165,Action;Crime;Thriller,Christopher Nolan,Jonathan Nolan;Christopher Nolan,Christian Bale;Tom Hardy;Anne Hathaway,8.6,"543,006"
Modern Times,87,Comedy;Drama,Charles Chaplin,Charles Chaplin,Charles Chaplin;Paulette Goddard;Henry Bergman,8.6,"67,484"
Citizen Kane,119,Drama;Mystery,Orson Welles,Herman J. Mankiewicz;Orson Welles,Orson Welles;Joseph Cotten;Dorothy Comingore,8.5,"194,712"
The Shining,146,Horror;Mystery,Stanley Kubrick,Stephen King;Stanley Kubrick,Jack Nicholson;Shelley Duvall;Danny Lloyd,8.5,"324,612"
Back to the Future,116,Adventure;Comedy;Sci-Fi,Robert Zemeckis,Robert Zemeckis;Bob Gale,Michael J. Fox;Christopher Lloyd;Lea Thompson,8.5,"368,306"
The Pianist,150,Biography;Drama;War,Roman Polanski,Ronald Harwood;Wladyslaw Szpilman,Adrien Brody;Thomas Kretschmann;Frank Finlay,8.5,"252,353"
The Departed,151,Crime;Thriller,Martin Scorsese,William Monahan;Alan Mak,Leonardo DiCaprio;Matt Damon;Jack Nicholson,8.5,"466,092"
Vertigo,128,Mystery;Romance;Thriller,Alfred Hitchcock,Alec Coppel;Samuel A. Taylor,James Stewart;Kim Novak;Barbara Bel Geddes,8.5,"142,126"
M,99,Crime;Drama;Film-Noir,Fritz Lang,Thea von Harbou;Fritz Lang,Peter Lorre;Ellen Widmann;Inge Landgut,8.5,"61,007"
La vita  bella,116,Comedy;Drama;Romance,Roberto Benigni;Rod Dean,Vincenzo Cerami;Roberto Benigni,Roberto Benigni;Nicoletta Braschi;Giorgio Cantarini,8.5,"200,219"
American Beauty,122,Drama,Sam Mendes,Alan Ball,Kevin Spacey;Annette Bening;Thora Birch,8.5,"483,976"
Taxi Driver,113,Crime;Drama,Martin Scorsese,Paul Schrader,Robert De Niro;Jodie Foster;Cybill Shepherd,8.5,"278,453"
Paths of Glory,88,Drama;War,Stanley Kubrick,Stanley Kubrick;Calder Willingham,Kirk Douglas;Ralph Meeker;Adolphe Menjou,8.5,"69,227"
Double Indemnity,107,Crime;Drama;Film-Noir,Billy Wilder,Billy Wilder;Raymond Chandler,Fred MacMurray;Barbara Stanwyck;Edward G. Robinson,8.5,"58,089"
Aliens,137,Action;Adventure;Sci-Fi,James Cameron,James Cameron;David Giler,Sigourney Weaver;Michael Biehn;Carrie Henn,8.5,"283,800"
Toy Story 3,103,Animation;Adventure;Comedy,Lee Unkrich,John Lasseter;Andrew Stanton,Tom Hanks;Tim Allen;Joan Cusack,8.5,"269,582"
WALLE,98,Animation;Adventure;Family,Andrew Stanton,Andrew Stanton;Pete Docter,Ben Burtt;Elissa Knight;Jeff Garlin,8.5,"366,230"
The Lives of Others,137,Drama;Thriller,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,Ulrich Mhe;Martina Gedeck;Sebastian Koch,8.5,"143,494"
The Intouchables,112,Biography;Comedy;Drama,Olivier Nakache;Eric Toledano,Olivier Nakache;Eric Toledano,Franois Cluzet;Omar Sy;Anne Le Ny,8.6,"147,499"
Gladiator,155,Action;Adventure;Drama,Ridley Scott,David Franzoni;David Franzoni,Russell Crowe;Joaquin Phoenix;Connie Nielsen,8.5,"515,043"
A Clockwork Orange,136,Crime;Drama;Sci-Fi,Stanley Kubrick,Stanley Kubrick;Anthony Burgess,Malcolm McDowell;Patrick Magee;Michael Bates,8.5,"311,769"
The Green Mile,189,Crime;Drama;Fantasy,Frank Darabont,Stephen King;Frank Darabont,Tom Hanks;Michael Clarke Duncan;David Morse,8.5,"379,710"
