"infografix","02/17/13","21:20:05","Brain Pickings | Data Visualization http://t.co/ri4VeM6r",None,None,None
"infografix","02/17/13","21:20:04","Brain Pickings | Data Visualization http://t.co/EIWIH1K7",None,None,None
"SocialBizIntel","02/17/13","21:20:03","Brain Pickings | Data Visualization http://t.co/217Rz4bg #visualization","visualization",None,None
"TierraWarren3","02/17/13","21:18:24","Just as professional athletes use visualization to perform better, speakers can use visualization to enhance their speaking performance.",None,None,None
"jlbajos","02/17/13","21:18:12","RT @JavierSantiso: Concentration in the U.S. Wine Industry. Amazing data visualization. https://t.co/pcY5ZE1m",None,None,None
"skynetbot","02/17/13","21:17:41","A Visualization of Global Brain Drain in Science Inspired by Abstract Art - ASIS&amp;T Metro New York http://t.co/ENVQYqE0",None,None,None
"CCPH2010","02/17/13","21:17:02","Weave: a new web-based platform designed to enable visualization of any available data by anyone for any purpose! #KMb http://t.co/TXEo558o","KMb",None,None
"KidAgency8886","02/17/13","21:16:42","17 seconds of focused pleasureable visualization is stronger than 2000 hours of working to obtain a goal",None,None,None
"BertrandDechoux","02/17/13","21:12:59","""Visualization can surprise you, but it doesnt scale well. Modelling scales well, but it cant surprise you.""  http://t.co/eU2Rnhw9",None,None,None
"PaulSlakey","02/17/13","21:12:17","Check this out. Predicts the #Oscar winners. Slick interactive visualization, based on social buzz. http://t.co/tSXIDvhy","Oscar",None,None
"jpvanschie","02/17/13","21:11:34","RT @frprinsen A Visualization of Global ""Brain Drain"" in Science Inspired by Abstract Art | Brain Pic...g http://t.co/EtAyF0DG via @twttimes",None,None,None
"macizomedia","02/17/13","21:11:29","RT @Mindjet: Merge your #data with art - The Science of #Visualization http://t.co/y5yeoKTz","data","Visualization",None
"edmengel","02/17/13","21:10:08","Great visualization of a queuing problem, and critique of Heroku.  James Somers  Heroku's Ugly Secret http://t.co/F8H8uKXd",None,None,None
"Mindjet","02/17/13","21:01:49","Merge your #data with art - The Science of #Visualization http://t.co/y5yeoKTz","data","Visualization",None
"bobdoyle","02/17/13","21:01:32","Common question - so posting it here. http://t.co/uVUx664l",None,None,None
"dreamlocal","02/17/13","20:59:53","RT @gcormier04401: RT @WiredFeed: The World's Tweets Light Up the Globe in Stunning Live Visualization:  http://t.co/ogC7s3FW",None,None,None
"blakecscott","02/17/13","20:59:32","RT @rachelsimrell: Zen out to this for a minute: realtime global twitter visualization. ...Nice work, @FranckErneweinhttp://t.co/23sbhd0s #webdesign #UI #UX","webdesign","UI","UX"
"GoTel","02/17/13","20:57:05","The future you see is the future you get. ~ Robert G Allen #Visualization""","Visualization",None,None
"dighist","02/17/13","20:55:14","@nickblackbourn: The Entire #History Of #Congress In One #Infographic http://t.co/aDaduuvy #nudhl","History","Congress","Infographic"
"allisternz","02/17/13","20:52:48","happy reading :-/ Who controls the world? Resources for understanding this visualization of the global economy http://t.co/FiqEEq1m #TED","TED",None,None
"arsalan_skhan","02/17/13","20:52:44","RT @acumenfund: Incredible analysis on who controls the world's resources: http://t.co/GmbYMmDE The concentration of power is astounding. @TEDtalks",None,None,None
"StreetSmartD","02/17/13","20:50:41","Have a Vivid Mental Picture of Being Successful in All Situations http://t.co/lc4s7RQN #Business #BusinessSuccess #Visualization","Business","BusinessSuccess","Visualization"
"Brianstaats","02/17/13","20:40:29","RT @bkeegan: This is a beautiful and terrifying data visualization. http://t.co/I0gxt1vV!",None,None,None
"Watsdesign","02/17/13","20:37:11","RT @fredvanamstel: wow! this brain visualization is impressive! RT @waag: Scans reveal intricate brain wiring http://t.co/7T2VTSyj",None,None,None
"OfficialCDaddy","02/17/13","20:35:13","Visualization is the key to success",None,None,None
"lostinhistory","02/17/13","20:34:07","This is FANTASTIC! RT @nickblackbourn The Entire #History Of #Congress In One #Infographic http://t.co/gR0IV0qU","History","Congress","Infographic"
"nickblackbourn","02/17/13","20:30:15","The Entire #History Of #Congress In One #Infographic http://t.co/JLjkp0my","History","Congress","Infographic"
"sml8bigdata","02/17/13","20:26:51","Top trends in Data Visualization 2013: Visually Meetup http://t.co/D3sX2jiI #bigdata","bigdata",None,None
"ednakay","02/17/13","20:26:00","RT @_yvetter: Or I think I just Listen to too much country music that I have this visualization of the perfect guy lol ",None,None,None
"MrCaffreyGar","02/17/13","20:24:25","Exterran Visualization on #morpholio http://t.co/TsbXDW8F","morpholio",None,None
