Country or Area,GENDER,Life Expectancy,Per Capita Expenditure
Afghanistan,Male,41,91
Afghanistan,Female,42,91
Albania,Male,71,381
Albania,Female,74,381
Algeria,Male,70,315
Algeria,Female,73,315
Andorra,Male,78,2980
Andorra,Female,85,2980
Angola,Male,51,115
Angola,Female,55,115
Antigua and Barbuda,Male,74,823
Antigua and Barbuda,Female,75,823
Argentina,Male,71,1205
Argentina,Female,79,1205
Armenia,Male,66,226
Armenia,Female,73,226
Australia,Male,79,3119
Australia,Female,84,3119
Austria,Male,77,3608
Austria,Female,83,3608
Azerbaijan,Male,66,254
Azerbaijan,Female,70,254
Bahamas,Male,71,1872
Bahamas,Female,77,1872
Bahrain,Male,75,1872
Bahrain,Female,76,1872
Bangladesh,Male,63,37
Bangladesh,Female,64,37
Barbados,Male,72,1208
Barbados,Female,78,1208
Belarus,Male,65,623
Belarus,Female,76,623
Belgium,Male,77,3328
Belgium,Female,82,3328
Belize,Male,64,332
Belize,Female,72,332
Benin,Male,57,61
Benin,Female,58,61
Bhutan,Male,61,140
Bhutan,Female,65,140
Bolivia (Plurinational State of),Male,64,257
Bolivia (Plurinational State of),Female,68,257
Bosnia and Herzegovina,Male,73,616
Bosnia and Herzegovina,Female,78,616
Botswana,Male,56,815
Botswana,Female,56,815
Brazil,Male,70,674
Brazil,Female,76,674
Brunei Darussalam,Male,74,941
Brunei Darussalam,Female,77,941
Bulgaria,Male,69,744
Bulgaria,Female,76,744
Burkina Faso,Male,48,73
Burkina Faso,Female,50,73
Burundi,Male,48,31
Burundi,Female,50,31
Cambodia,Male,58,96
Cambodia,Female,64,96
Cameroon,Male,51,94
Cameroon,Female,52,94
Canada,Male,78,3673
Canada,Female,83,3673
Cape Verde,Male,66,139
Cape Verde,Female,73,139
Central African Republic,Male,48,27
Central African Republic,Female,48,27
Chad,Male,46,72
Chad,Female,47,72
Chile,Male,75,689
Chile,Female,81,689
China,Male,72,216
China,Female,75,216
Colombia,Male,72,464
Colombia,Female,79,464
Comoros,Male,63,27
Comoros,Female,67,27
Congo,Male,54,74
Congo,Female,56,74
Cook Islands,Male,71,810
Cook Islands,Female,75,810
Costa Rica,Male,77,779
Costa Rica,Female,81,779
Côd'Ivoire,Male,52,63
Côd'Ivoire,Female,57,63
Croatia,Male,73,1169
Croatia,Female,79,1169
Cuba,Male,76,674
Cuba,Female,81,674
Cyprus,Male,78,2754
Cyprus,Female,82,2754
Czech Republic,Male,74,1511
Czech Republic,Female,80,1511
Democratic People's Republic of Korea,Male,64,1
Democratic People's Republic of Korea,Female,68,1
Democratic Republic of the Congo,Male,50,19
Democratic Republic of the Congo,Female,54,19
Denmark,Male,76,3773
Denmark,Female,81,3773
Djibouti,Male,53,133
Djibouti,Female,58,133
Dominica,Male,72,487
Dominica,Female,76,487
Dominican Republic,Male,70,379
Dominican Republic,Female,74,379
Ecuador,Male,70,379
Ecuador,Female,76,379
Egypt,Male,66,320
Egypt,Female,70,320
El Salvador,Male,68,360
El Salvador,Female,75,360
Equatorial Guinea,Male,52,633
Equatorial Guinea,Female,54,633
Eritrea,Male,61,19
Eritrea,Female,65,19
Estonia,Male,67,958
Estonia,Female,79,958
Ethiopia,Male,55,26
Ethiopia,Female,59,26
Fiji,Male,67,164
Fiji,Female,72,164
Finland,Male,76,2656
Finland,Female,83,2656
France,Male,77,3420
France,Female,84,3420
Gabon,Male,57,628
Gabon,Female,61,628
Gambia,Male,57,57
Gambia,Female,61,57
Georgia,Male,68,337
Georgia,Female,76,337
Germany,Male,77,3465
Germany,Female,82,3465
Ghana,Male,56,76
Ghana,Female,58,76
Greece,Male,77,2547
Greece,Female,82,2547
Grenada,Male,67,485
Grenada,Female,70,485
Guatemala,Male,65,292
Guatemala,Female,72,292
Guinea,Male,52,65
Guinea,Female,56,65
Guinea-Bissau,Male,46,29
Guinea-Bissau,Female,51,29
Guyana,Male,57,144
Guyana,Female,63,144
Haiti,Male,59,89
Haiti,Female,64,89
Honduras,Male,68,226
Honduras,Female,74,226
Hungary,Male,69,1492
Hungary,Female,78,1492
Iceland,Male,80,3207
Iceland,Female,83,3207
India,Male,63,86
India,Female,65,86
Indonesia,Male,67,82
Indonesia,Female,70,82
Iran (Islamic Republic of),Male,70,678
Iran (Islamic Republic of),Female,74,678
Iraq,Male,58,181
Iraq,Female,69,181
Ireland,Male,77,3106
Ireland,Female,82,3106
Israel,Male,79,2034
Israel,Female,82,2034
Italy,Male,79,2631
Italy,Female,84,2631
Jamaica,Male,69,307
Jamaica,Female,74,307
Japan,Male,79,2581
Japan,Female,86,2581
Jordan,Male,70,435
Jordan,Female,74,435
Kazakhstan,Male,59,352
Kazakhstan,Female,70,352
Kenya,Male,53,67
Kenya,Female,56,67
Kiribati,Male,63,230
Kiribati,Female,68,230
Kuwait,Male,78,956
Kuwait,Female,79,956
Kyrgyzstan,Male,63,115
Kyrgyzstan,Female,69,115
