COUNTRY,COUNTRY_CODE,YEAR,POPULATION,UNEMPL_RATE,GNI_ATLAS,GNI_PER_CAPITA,GDP,GDP_GROWTH,INFLATION,REVENUE,CASH_SURPLUS,MILITARY_SPENDING_PERCENT_OF_GDP,MILITARY_SPENDING_LCU,MILITARY_SPENDING_PERCENT_OF_CENTRAL_GOVT
United States,USA,1/1/2000,282162411.00,4,9845288483884.00,34890.00,9898800000000.00,4.17,2.16,,,3.05,301697000000,
United States,USA,1/1/2001,284968955.00,4.7,10114387034866.70,35490.00,10233900000000.00,1.09,2.27,20.12,0.48,3.06,312743000000,15.63
United States,USA,1/1/2002,287625193.00,5.78,10345722658420.20,35970.00,10590200000000.00,1.83,1.62,17.89,-2.60,3.37,356720000000,16.53
United States,USA,1/1/2003,290107933.00,5.99,11127549263118.60,38360.00,11089300000000.00,2.55,2.11,17.24,-3.83,3.74,415223000000,17.85
United States,USA,1/1/2004,292805298.00,5.53,12304714724581.00,42020.00,11797800000000.00,3.48,2.81,17.36,-3.62,3.94,464676000000,18.86
United States,USA,1/1/2005,295516599.00,5.10,13201010773228.50,44670.00,12564300000000.00,3.08,3.32,18.56,-2.76,4.01,503353000000,18.86
United States,USA,1/1/2006,298379912.00,4.61,13808522649547.20,46280.00,13314500000000.00,2.66,3.23,19.28,-1.83,3.96,527660000000,18.76
United States,USA,1/1/2007,301231207.00,4.60,14131618233082.90,46910.00,13961800000000.00,1.91,2.90,19.30,-2.23,3.99,556961000000,18.58
United States,USA,1/1/2008,304093966.00,5.78,14561642137957.90,47890.00,14219300000000.00,-0.36,2.21,17.91,-5.29,4.37,621138000000,18.79
United States,USA,1/1/2009,306771529.00,9.27,14097052546062.30,45950.00,13898300000000.00,-3.53,1.32,16.33,-10.39,4.82,668604000000,18.04
United States,USA,1/1/2010,309349689.00,,14649584412621.20,47360.00,14419400000000.00,3.02,0.71,17.08,-10.11,4.83,698281000000,17.89
United States,USA,1/1/2011,311591917.00,,15148157107358.10,48620.00,14991300000000.00,1.70,2.23,17.24,-8.83,4.71,711421000000,18.31
United Kingdom,GBR,1/1/2000,58892514.00,5.45,1525742547929.21,25910.00,1475705855651.38,4.24,0.67,37.09,3.90,2.39,23301000000,6.59
United Kingdom,GBR,1/1/2001,59107960.00,5.075,1527692011227.75,25850.00,1468026486253.06,2.89,1.63,37.03,0.75,2.40,24544000000,6.55
United Kingdom,GBR,1/1/2002,59325809.00,5.175,1553346144934.65,26180.00,1601617206235.01,2.43,2.29,35.61,-1.98,2.46,26462000000,6.54
United Kingdom,GBR,1/1/2003,59566259.00,5.025,1737741985756.22,29170.00,1855666938775.51,3.81,2.45,35.10,-3.51,2.52,28751000000,6.50
United Kingdom,GBR,1/1/2004,59867866.00,4.75,2069928373787.57,34570.00,2196860009520.67,2.91,2.58,35.85,-3.20,2.45,29478000000,6.26
United Kingdom,GBR,1/1/2005,60224307.00,4.825,2350577266478.95,39030.00,2295844712162.59,2.77,2.40,36.60,-3.04,2.42,30333000000,5.87
United Kingdom,GBR,1/1/2006,60595632.00,5.425,2495755519198.32,41190.00,2452969436251.46,2.60,2.90,37.31,-2.74,2.35,31241000000,5.85
United Kingdom,GBR,1/1/2007,60986649.00,5.35,2713533850359.11,44490.00,2825526440056.67,3.63,2.21,37.02,-2.69,2.35,32978000000,5.88
United Kingdom,GBR,1/1/2008,61393521.00,5.7,2805442308578.17,45700.00,2648935779074.43,-0.97,3.04,38.57,-4.71,2.49,35695000000,5.76
United Kingdom,GBR,1/1/2009,61811027.00,7.625,2548125556655.55,41220.00,2183862761501.06,-3.97,1.32,35.53,-10.98,2.67,37177000000,5.76
United Kingdom,GBR,1/1/2010,62231336.00,,2391777395950.86,38430.00,2256260000000.00,1.80,2.77,36.08,-10.04,2.57,37590000000,5.62
United Kingdom,GBR,1/1/2011,62641000.00,,2370444976993.33,37840.00,2445408064516.13,0.76,2.60,,,2.59,39116000000,
Pakistan,PAK,1/1/2000,144522192.00,7.8,67666511033.67,470.00,73952374969.80,4.26,24.89,13.89,-4.09,4.02,1540000000,23.42
Pakistan,PAK,1/1/2001,147557907.00,7.8,70146203759.27,480.00,72309738921.33,1.98,7.89,12.71,-3.75,4.04,1700000000,24.84
Pakistan,PAK,1/1/2002,150407242.00,8.3,74413653156.63,490.00,72306820396.23,3.22,2.46,13.90,-2.86,4.22,1880000000,24.95
Pakistan,PAK,1/1/2003,153139895.00,8.3,82969795338.25,540.00,83244801092.71,4.85,4.44,14.39,-2.88,4.25,2070000000,25.23
Pakistan,PAK,1/1/2004,155860066.00,7.7,96715345436.23,620.00,97977766197.67,7.37,7.75,13.49,-1.95,4.11,2320000000,28.49
Pakistan,PAK,1/1/2005,158645463.00,,112941080510.10,710.00,109600000000.00,7.67,7.03,13.00,-3.20,4.05,2630000000,27.67
Pakistan,PAK,1/1/2006,161513324.00,,126336461849.92,780.00,127500000000.00,6.18,10.46,13.40,-4.23,3.76,2870000000,24.69
Pakistan,PAK,1/1/2007,164445596.00,5.3,140137818939.19,850.00,143171182643.10,5.68,7.65,14.47,-4.17,3.57,3100000000,21.90
Pakistan,PAK,1/1/2008,167442258.00,5.2,156722434706.42,940.00,163891692022.27,1.60,16.24,13.43,-7.44,3.43,3510000000,18.39
Pakistan,PAK,1/1/2009,170494367.00,,169593513727.12,990.00,161819031346.25,3.60,19.91,14.02,-4.76,3.24,4120000000,19.28
