"Country or Area","Year","Value","Value Footnotes"
"Afghanistan","2011","20343461030.3831",""
"Afghanistan","2010","17243112603.5529",""
"Afghanistan","2009","14213670485.3132",""
"Afghanistan","2008","11940296131.2844",""
"Afghanistan","2007","9707373721.07853",""
"Afghanistan","2006","7721931671.42095",""
"Afghanistan","2005","6814753580.54149",""
"Afghanistan","2004","5704202650.63821",""
"Afghanistan","2003","4766127271.58125",""
"Afghanistan","2002","4338907578.66254",""
"Afghanistan","2001","2461666314.78366",""
"Afghanistan","1981","3478787909.81818",""
"Afghanistan","1980","3641723447.18433",""
"Afghanistan","1979","3697940345.14177",""
"Afghanistan","1978","3300000108.08889",""
"Afghanistan","1977","2953333418.66667",""
"Afghanistan","1976","2555555566.93333",""
"Afghanistan","1975","2366666615.46667",""
"Afghanistan","1974","2155555498.66667",""
"Afghanistan","1973","1733333265.06667",""
"Afghanistan","1972","1595555475.91111",""
"Afghanistan","1971","1831108972.08889",""
"Afghanistan","1970","1748886596.26667",""
"Afghanistan","1969","1408888923.02222",""
"Afghanistan","1968","1373333367.46667",""
"Afghanistan","1967","1673333418.66667",""
"Afghanistan","1966","1399999965.86667",""
"Afghanistan","1965","1006666638.22222",""
"Afghanistan","1964","800000045.511111",""
"Afghanistan","1963","751111190.755556",""
"Afghanistan","1962","546666678.044444",""
"Afghanistan","1961","548888894.577778",""
"Afghanistan","1960","537777811.911111",""
"Albania","2011","12959563902.4015",""
"Albania","2010","11858216877.4114",""
"Albania","2009","12118583126.0048",""
"Albania","2008","12968653524.7799",""
"Albania","2007","10704660840.2938",""
"Albania","2006","9132562332.43024",""
"Albania","2005","8376483740.48289",""
"Albania","2004","7464446950.02559",""
"Albania","2003","5652325081.59963",""
"Albania","2002","4449373455.56632",""
"Albania","2001","4091020249.36656",""
"Albania","2000","3686649387.03405",""
"Albania","1999","3434402453.41057",""
"Albania","1998","2727745453.08283",""
"Albania","1997","2196223713.8105",""
"Albania","1996","3013217852.57366",""
"Albania","1995","2424498952.88127",""
"Albania","1994","1985673025.89461",""
"Albania","1993","1228071037.41335",""
"Albania","1992","709452572.658102",""
"Albania","1991","1139166679.0665",""
"Albania","1990","2101624960",""
"Albania","1989","2335124992",""
"Albania","1988","2126000000",""
"Albania","1987","2156624896",""
"Albania","1986","2173750016",""
"Albania","1985","1965384580.6465",""
"Albania","1984","1924242456.27134",""
"Algeria","2011","188681099191.024",""
"Algeria","2010","161979441019.242",""
"Algeria","2009","138119949894.696",""
"Algeria","2008","170989269622.037",""
"Algeria","2007","135803556324.92",""
"Algeria","2006","117169320524.244",""
"Algeria","2005","102339100115.447",""
"Algeria","2004","85013944727.955",""
"Algeria","2003","68018606041.3973",""
"Algeria","2002","57053038888.2449",""
"Algeria","2001","55180990395.7369",""
"Algeria","2000","54790058957.3718",""
"Algeria","1999","48640613515.0702",""
"Algeria","1998","48187780126.1819",""
"Algeria","1997","48177861890.8881",""
"Algeria","1996","46941496308.2845",""
"Algeria","1995","41764054034.6543",""
"Algeria","1994","42542573602.1669",""
"Algeria","1993","49946456681.2384",""
"Algeria","1992","48003297248.8691",""
"Algeria","1991","45715368143.9784",""
"Algeria","1990","62045098370.0829",""
"Algeria","1989","55631488293.8976",""
"Algeria","1988","59089065516.8692",""
"Algeria","1987","66742269089.6987",""
"Algeria","1986","63696299985.0409",""
"Algeria","1985","57937867717.4636",""
"Algeria","1984","53698280322.5824",""
"Algeria","1983","48801372227.5528",""
"Algeria","1982","45207090667.8674",""
"Algeria","1981","44348670724.0831",""
"Algeria","1980","42345276287.5934",""
"Algeria","1979","33243421339.3774",""
"Algeria","1978","26364491674.6159",""
"Algeria","1977","20971901062.9845",""
"Algeria","1976","17728348385.244",""
"Algeria","1975","15557934472.8677",""
"Algeria","1974","13209713770.0892",""
"Algeria","1973","8715106128.63411",""
"Algeria","1972","6761786483.71017",""
"Algeria","1971","5077222330.06931",""
"Algeria","1970","4863487557.2335",""
"Algeria","1969","4257253358.44365",""
"Algeria","1968","3852147112.84503",""
"Algeria","1967","3370870461.13558",""
"Algeria","1966","3039859268.24911",""
"Algeria","1965","3136284385.14828",""
"Algeria","1964","2909340114.7226",""
"Algeria","1963","2703004009.92404",""
"Algeria","1962","2001460838.78378",""
"Algeria","1961","2434766866.27334",""
"Algeria","1960","2723637620.4039",""
"Andorra","2008","3712034266.50674",""
"Andorra","2007","3245411583.7197",""
"Andorra","2006","2823503852.62328",""
"Andorra","2005","2539759285.92747",""
"Andorra","2004","2322163502.26295",""
"Andorra","2003","1917948475.27513",""
"Andorra","2002","1456198796.29382",""
"Andorra","2001","1264760246.44075",""
"Andorra","2000","1133644294.5425",""
"Andorra","1999","1239840265.63345",""
"Andorra","1998","1211953953.56155",""
