"OID","Country or Area","Year","Description","Magnitude","Value"
"91467R..ZF...","ALBANIA","2008","UNEMPLOYMENT RATE","PERCENT PER ANNU","12.75"
"91467C..ZF...","ALBANIA","2008","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","140599"
"91467D..ZF...","ALBANIA","2008","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1102890"
"91467E..ZF...","ALBANIA","2008","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","962293"
"91467R..ZF...","ALBANIA","2007","UNEMPLOYMENT RATE","PERCENT PER ANNU","13.36"
"91467C..ZF...","ALBANIA","2007","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","144458"
"91467D..ZF...","ALBANIA","2007","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1079570"
"91467E..ZF...","ALBANIA","2007","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","935116"
"91467R..ZF...","ALBANIA","2006","UNEMPLOYMENT RATE","PERCENT PER ANNU","13.9"
"91467C..ZF...","ALBANIA","2006","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","150332"
"91467D..ZF...","ALBANIA","2006","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1083260"
"91467E..ZF...","ALBANIA","2006","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","932929"
"91467R..ZF...","ALBANIA","2005","UNEMPLOYMENT RATE","PERCENT PER ANNU","14.3"
"91467C..ZF...","ALBANIA","2005","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","154950"
"91467D..ZF...","ALBANIA","2005","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1086250"
"91467E..ZF...","ALBANIA","2005","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","931300"
"91467R..ZF...","ALBANIA","2004","UNEMPLOYMENT RATE","PERCENT PER ANNU","14.75"
"91467C..ZF...","ALBANIA","2004","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","159000"
"91467D..ZF...","ALBANIA","2004","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1090000"
"91467E..ZF...","ALBANIA","2004","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","931000"
"91467R..ZF...","ALBANIA","2003","UNEMPLOYMENT RATE","PERCENT PER ANNU","15.18"
"91467C..ZF...","ALBANIA","2003","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","163000"
"91467D..ZF...","ALBANIA","2003","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1089000"
"91467E..ZF...","ALBANIA","2003","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","926000"
"91467R..ZF...","ALBANIA","2002","UNEMPLOYMENT RATE","PERCENT PER ANNU","15.8"
"91467C..ZF...","ALBANIA","2002","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","172390"
"91467D..ZF...","ALBANIA","2002","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1092490"
"91467E..ZF...","ALBANIA","2002","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","920100"
"91467R..ZF...","ALBANIA","2001","UNEMPLOYMENT RATE","PERCENT PER ANNU","16.4"
"91467C..ZF...","ALBANIA","2001","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","180510"
"91467D..ZF...","ALBANIA","2001","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1101080"
"91467E..ZF...","ALBANIA","2001","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","920570"
"91467R..ZF...","ALBANIA","2000","UNEMPLOYMENT RATE","PERCENT PER ANNU","16.8"
