"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Female 0-14 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","5697693",""
"Afghanistan","Female 0-14 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","4743410",""
"Afghanistan","Female 0-14 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","4141665",""
"Afghanistan","Female 0-14 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","2829025",""
"Afghanistan","Female 0-14 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","2722232",""
"Afghanistan","Female 0-17 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","6504738",""
"Afghanistan","Female 0-17 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","5396750",""
"Afghanistan","Female 0-17 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","4708253",""
"Afghanistan","Female 0-17 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","3222297",""
"Afghanistan","Female 0-17 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","3104752",""
"Afghanistan","Female 15-24 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","2354711",""
"Afghanistan","Female 15-24 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","1907268",""
"Afghanistan","Female 15-24 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","1668889",""
"Afghanistan","Female 15-24 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","1160257",""
"Afghanistan","Female 15-24 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","1125701",""
"Afghanistan","Female 15-64 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","6100792",""
"Afghanistan","Female 15-64 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","5012180",""
"Afghanistan","Female 15-64 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","4437741",""
"Afghanistan","Female 15-64 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","3112840",""
"Afghanistan","Female 15-64 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","3063701",""
"Afghanistan","Female 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","284396",""
"Afghanistan","Female 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","238107",""
"Afghanistan","Female 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","213019",""
"Afghanistan","Female 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","150053",""
"Afghanistan","Female 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","148025",""
"Afghanistan","Male 0-14 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","6077477",""
"Afghanistan","Male 0-14 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","5058676",""
