"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","9.5","1"
"Afghanistan","Male 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","7.6","1"
"Albania","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","17.5","2"
"Albania","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","18.3","2"
"Albania","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","28.4","3"
"Albania","Female 15-24 yr","2001","ILO_KILM Database 5ed_2007","Percent","27.1","3"
"Albania","Male 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","12.4","2"
"Albania","Male 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","13.2","2"
"Albania","Male 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","18.8","3"
"Albania","Male 15-24 yr","2001","ILO_KILM Database 5ed_2007","Percent","41.6","3"
"Algeria","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","17.5","4"
"Algeria","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","21.3","5"
"Algeria","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","25.4","6"
"Algeria","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","31.4","6"
"Algeria","Female 15-24 yr","2004","ILO_KILM Database 5ed_2007","Percent","46.3","5"
"Algeria","Male 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","14.9","4"
"Algeria","Male 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","19.8","5"
"Algeria","Male 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","23.4","6"
"Algeria","Male 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","26.6","6"
"Algeria","Male 15-24 yr","2004","ILO_KILM Database 5ed_2007","Percent","42.8","5"
"Anguilla","Female 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","9.5","7"
"Anguilla","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","7.1","8"
"Anguilla","Female 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","12.4","9"
"Anguilla","Female 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","8.3","8"
"Anguilla","Female 15-24 yr","2001","ILO_KILM Database 5ed_2007","Percent","17.8","8"
"Anguilla","Female 15-24 yr","1992","ILO_KILM Database 5ed_2007","Percent","18.4","10"
"Anguilla","Male 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","6.3","7"
"Anguilla","Male 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","6.5","8"
"Anguilla","Male 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","4.7","9"
"Anguilla","Male 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","6.0","8"
"Anguilla","Male 15-24 yr","2001","ILO_KILM Database 5ed_2007","Percent","10.0","8"
"Anguilla","Male 15-24 yr","1992","ILO_KILM Database 5ed_2007","Percent","15.0","10"
"Argentina","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","12.5","11"
"Argentina","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","14.5","12"
"Argentina","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","18.7","12"
"Argentina","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","18.4","13"
"Argentina","Female 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","16.8","13"
"Argentina","Female 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","16.0","13"
"Argentina","Female 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","15.4","13"
"Argentina","Female 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","17.2","13"
"Argentina","Female 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","21.9","13"
"Argentina","Female 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","8.6","14"
"Argentina","Female 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","15.5","13"
"Argentina","Female 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","12.3","13"
"Argentina","Female 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","6.3","13"
"Argentina","Female 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","5.8","13"
"Argentina","Female 15+ yr","1990","ILO_KILM Database 5ed_2007","Percent","6.4","13"
"Argentina","Female 15+ yr","1989","ILO_KILM Database 5ed_2007","Percent","7.8","15"
"Argentina","Female 15+ yr","1988","ILO_KILM Database 5ed_2007","Percent","7.2","15"
"Argentina","Female 15+ yr","1987","ILO_KILM Database 5ed_2007","Percent","6.6","15"
"Argentina","Female 15-24 yr","2005","ILO_KILM Database 5ed_2007","Percent","28.0","11"
"Argentina","Female 15-24 yr","2004","ILO_KILM Database 5ed_2007","Percent","31.4","11"
"Argentina","Female 15-24 yr","2003","ILO_KILM Database 5ed_2007","Percent","39.0","11"
"Argentina","Female 15-24 yr","2001","ILO_KILM Database 5ed_2007","Percent","32.7","16"
"Argentina","Female 15-24 yr","2000","ILO_KILM Database 5ed_2007","Percent","31.0","16"
"Argentina","Female 15-24 yr","1999","ILO_KILM Database 5ed_2007","Percent","25.2","16"
"Argentina","Female 15-24 yr","1998","ILO_KILM Database 5ed_2007","Percent","26.1","16"
"Argentina","Female 15-24 yr","1997","ILO_KILM Database 5ed_2007","Percent","28.9","16"
"Argentina","Female 15-24 yr","1996","ILO_KILM Database 5ed_2007","Percent","37.6","16"
"Argentina","Female 15-24 yr","1995","ILO_KILM Database 5ed_2007","Percent","14.2","14"
"Argentina","Female 15-24 yr","1994","ILO_KILM Database 5ed_2007","Percent","26.7","16"
"Argentina","Female 15-24 yr","1993","ILO_KILM Database 5ed_2007","Percent","25.3","16"
"Argentina","Female 15-24 yr","1992","ILO_KILM Database 5ed_2007","Percent","11.9","16"
"Argentina","Female 15-24 yr","1991","ILO_KILM Database 5ed_2007","Percent","12.2","16"
"Argentina","Female 15-24 yr","1990","ILO_KILM Database 5ed_2007","Percent","15.6","16"
"Argentina","Male 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","9.2","11"
"Argentina","Male 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","11.2","12"
"Argentina","Male 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","14.1","12"
"Argentina","Male 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","19.7","13"
"Argentina","Male 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","13.3","13"
"Argentina","Male 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","13.4","13"
"Argentina","Male 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","11.8","13"
"Argentina","Male 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","12.4","13"
"Argentina","Male 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","16.7","13"
"Argentina","Male 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","5.6","14"
"Argentina","Male 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","11.5","13"
"Argentina","Male 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","7.8","13"
"Argentina","Male 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","6.8","13"
"Argentina","Male 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","4.9","13"
"Argentina","Male 15+ yr","1990","ILO_KILM Database 5ed_2007","Percent","5.7","13"
"Argentina","Male 15+ yr","1989","ILO_KILM Database 5ed_2007","Percent","7.0","15"
"Argentina","Male 15+ yr","1988","ILO_KILM Database 5ed_2007","Percent","5.3","15"
"Argentina","Male 15+ yr","1987","ILO_KILM Database 5ed_2007","Percent","4.5","15"
"Argentina","Male 15-24 yr","2005","ILO_KILM Database 5ed_2007","Percent","21.6","11"
"Argentina","Male 15-24 yr","2004","ILO_KILM Database 5ed_2007","Percent","24.9","11"
"Argentina","Male 15-24 yr","2003","ILO_KILM Database 5ed_2007","Percent","32.2","11"
"Argentina","Male 15-24 yr","2001","ILO_KILM Database 5ed_2007","Percent","31.2","16"
"Argentina","Male 15-24 yr","2000","ILO_KILM Database 5ed_2007","Percent","21.9","16"
"Argentina","Male 15-24 yr","1999","ILO_KILM Database 5ed_2007","Percent","23.0","16"
"Argentina","Male 15-24 yr","1998","ILO_KILM Database 5ed_2007","Percent","21.3","16"
"Argentina","Male 15-24 yr","1997","ILO_KILM Database 5ed_2007","Percent","21.1","16"
"Argentina","Male 15-24 yr","1996","ILO_KILM Database 5ed_2007","Percent","29.9","16"
"Argentina","Male 15-24 yr","1995","ILO_KILM Database 5ed_2007","Percent","10.5","14"
"Argentina","Male 15-24 yr","1994","ILO_KILM Database 5ed_2007","Percent","20.3","16"
"Argentina","Male 15-24 yr","1993","ILO_KILM Database 5ed_2007","Percent","16.1","16"
"Argentina","Male 15-24 yr","1992","ILO_KILM Database 5ed_2007","Percent","13.0","16"
"Argentina","Male 15-24 yr","1991","ILO_KILM Database 5ed_2007","Percent","10.6","16"
"Argentina","Male 15-24 yr","1990","ILO_KILM Database 5ed_2007","Percent","11.5","16"
"Armenia","Female 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","34.4","17"
"Armenia","Male 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","38.0","17"
"Aruba","Female 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","8.4","18"
"Aruba","Female 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","8.3","18"
"Aruba","Female 15-24 yr","1997","ILO_KILM Database 5ed_2007","Percent","24.5","18"
"Aruba","Female 15-24 yr","1994","ILO_KILM Database 5ed_2007","Percent","14.6","18"
"Aruba","Male 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","6.8","18"
"Aruba","Male 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","5.6","18"
"Aruba","Male 15-24 yr","1997","ILO_KILM Database 5ed_2007","Percent","16.7","18"
"Aruba","Male 15-24 yr","1994","ILO_KILM Database 5ed_2007","Percent","8.9","18"
"Australia","Female 15+ yr","2005","ILO_KILM Database 5ed_2007","Percent","5.3","19"
"Australia","Female 15+ yr","2004","ILO_KILM Database 5ed_2007","Percent","5.7","19"
"Australia","Female 15+ yr","2003","ILO_KILM Database 5ed_2007","Percent","6.1","19"
"Australia","Female 15+ yr","2002","ILO_KILM Database 5ed_2007","Percent","6.2","19"
"Australia","Female 15+ yr","2001","ILO_KILM Database 5ed_2007","Percent","6.5","20"
"Australia","Female 15+ yr","2000","ILO_KILM Database 5ed_2007","Percent","6.1","19"
"Australia","Female 15+ yr","1999","ILO_KILM Database 5ed_2007","Percent","6.7","19"
"Australia","Female 15+ yr","1998","ILO_KILM Database 5ed_2007","Percent","7.4","19"
"Australia","Female 15+ yr","1997","ILO_KILM Database 5ed_2007","Percent","8.2","19"
"Australia","Female 15+ yr","1996","ILO_KILM Database 5ed_2007","Percent","8.2","19"
"Australia","Female 15+ yr","1995","ILO_KILM Database 5ed_2007","Percent","8.1","19"
"Australia","Female 15+ yr","1994","ILO_KILM Database 5ed_2007","Percent","9.4","19"
"Australia","Female 15+ yr","1993","ILO_KILM Database 5ed_2007","Percent","10.1","19"
"Australia","Female 15+ yr","1992","ILO_KILM Database 5ed_2007","Percent","10.0","19"
"Australia","Female 15+ yr","1991","ILO_KILM Database 5ed_2007","Percent","9.2","19"
"Australia","Female 15+ yr","1990","ILO_KILM Database 5ed_2007","Percent","7.2","19"
"Australia","Female 15+ yr","1989","ILO_KILM Database 5ed_2007","Percent","6.8","19"
"Australia","Female 15+ yr","1988","ILO_KILM Database 5ed_2007","Percent","7.9","19"
"Australia","Female 15+ yr","1987","ILO_KILM Database 5ed_2007","Percent","8.6","19"
"Australia","Female 15+ yr","1986","ILO_KILM Database 5ed_2007","Percent","8.7","19"
"Australia","Female 15+ yr","1985","ILO_KILM Database 5ed_2007","Percent","8.8","19"
"Australia","Female 15-24 yr","2005","ILO_KILM Database 5ed_2007","Percent","10.5","21"
"Australia","Female 15-24 yr","2004","ILO_KILM Database 5ed_2007","Percent","11.1","21"
"Australia","Female 15-24 yr","2003","ILO_KILM Database 5ed_2007","Percent","11.6","21"
"Australia","Female 15-24 yr","2002","ILO_KILM Database 5ed_2007","Percent","11.9","21"
"Australia","Female 15-24 yr","2001","ILO_KILM Database 5ed_2007","Percent","12.5","22"
"Australia","Female 15-24 yr","2000","ILO_KILM Database 5ed_2007","Percent","11.3","21"
"Australia","Female 15-24 yr","1999","ILO_KILM Database 5ed_2007","Percent","12.6","21"
"Australia","Female 15-24 yr","1998","ILO_KILM Database 5ed_2007","Percent","13.8","21"
"Australia","Female 15-24 yr","1997","ILO_KILM Database 5ed_2007","Percent","14.7","21"
